,word,TF-IDF
69,できる,0.011352327549125263
15,あの日,0.011318591691513124
31,お前,0.011251824642527778
156,何度,0.011078650449739776
33,かける,0.011031304157590818
189,向こう,0.011012448750245206
493,鳴らす,0.010983321960933387
255,心配,0.010963161576787242
335,気持ち,0.010930910001348507
443,蹴る,0.01089797080131836
412,舞う,0.01083675179578042
10,the,0.010831621094607575
434,誰か,0.010812371568387972
133,一人,0.010809728683234918
90,まま,0.010753919605014591
321,欲しい,0.010709978861843739
91,みたい,0.010685603569392178
169,全部,0.010657559308474469
314,来る,0.010632704113149214
308,暮らす,0.0106037311277579
373,眺める,0.010479076822361998
96,やつ,0.010403841162240397
22,いつ,0.01039097138220699
274,憧れる,0.01034759746810783
444,輝き,0.01032087623500873
51,すごい,0.010310031987972885
276,手,0.010137582496536329
360,生まれる,0.010103314965667116
406,聴く,0.010054812795889238
489,騒ぐ,0.010020838796600161
130,リズム,0.010010164402061147
117,ダンス,0.009895403696153835
358,猫,0.009830313132188486
487,飛ぶ,0.009810080449679195
219,夢,0.009784563467043171
220,夢見る,0.009741106801697973
432,許す,0.00969507848711852
143,二人,0.009693827571316852
479,音楽,0.009636424437719981
129,ララララララララ,0.009636063911757697
451,通り,0.00952469886370411
14,あのこ,0.00951000317699664
135,下,0.00947223318665545
414,色,0.009394798769351334
332,気,0.009394736116311359
404,耳,0.009388238686029896
296,日々,0.009357733980669428
337,汚い,0.009327240588730964
485,風と共に,0.009296148402450192
331,毎日,0.009284987297593415
199,嘘,0.009274204613890481
395,続く,0.009229723048847241
407,肌,0.009216553038200726
476,青い,0.009199984063731455
345,海,0.009193068762143857
240,帰る,0.009182916398152934
128,ライト,0.009181626841873772
40,こい,0.009174266818778691
196,呼ぶ,0.009158521566667596
232,宇宙,0.009086548136611987
461,部屋,0.008970302977004577
472,雨,0.008957913259254623
312,朝,0.008880946888089367
381,穏やか,0.008867421113599519
42,こっち,0.008864891002316223
111,ギター,0.008820081417905863
477,青い空,0.008817435012636371
142,争い,0.008795865917369361
403,考える,0.00877569713832995
285,捨てる,0.008728996793389832
397,綺麗,0.008675107570958168
380,神様,0.008671394334592372
353,照らす,0.008635172623198054
147,人身事故,0.008594839120646265
375,瞳,0.00858143402152042
184,叫ぶ,0.008528663601020491
342,流れる,0.008519369522100579
251,待つ,0.008515795002158332
418,行ける,0.008444332195710865
263,息,0.008388316644095537
280,抱く,0.008388230695004498
473,雲,0.00838133880606882
87,ほしい,0.008338967094970003
405,聞く,0.008270369461762307
299,昔,0.008266872715330487
291,教える,0.00825634936416647
260,思い出せる,0.008162519286580733
385,立ち止まる,0.008107573390284097
388,笑顔,0.008040573218442608
394,終わる,0.007978149656211637
246,弱い,0.007953476641913804
36,く,0.007899615920856733
195,呟く,0.007883239098546414
253,微笑む,0.007874018079779468
426,見上げる,0.00785726373287507
447,返す,0.007819206721948729
24,いつまでも,0.007751798388642976
234,寂しい,0.007733841401631254
275,懐かしい,0.007731956926008078
4,in,0.007705019905030989
140,乗り込む,0.007629090816470375
92,みつめる,0.007602595903152067
428,触れる,0.007576401554587768
430,言える,0.007554546806541801
41,ここ,0.007536394921572616
269,想う,0.007501051536898057
435,諦める,0.0074916499582496285
440,足,0.007460525455727985
368,目指す,0.007447784284256328
431,言葉,0.007420493874956653
164,僕達,0.007386529821923096
158,信じる,0.007346629736315491
150,今夜,0.007334417892872441
408,肩,0.007316833200177181
67,つける,0.0072948986421097805
354,熱,0.007262047141702953
364,白人,0.007258890228587739
366,盗む,0.007222710151717283
445,輝く,0.007206262666959797
400,美しい,0.0072019591193404325
231,嫌,0.00718836436569583
154,体,0.0071862888277904645
351,潜める,0.007144088206548374
249,影,0.007118233946698145
26,うたう,0.007083692566718113
446,辿る,0.0070466892371463564
165,優しい,0.006970184717088412
192,君の声,0.006905984021659385
218,夜明け,0.006894886758959687
123,ファンファーレ,0.006894886758959687
1,baby,0.00689048077685818
470,降る,0.006883377730041177
324,止む,0.006858329683932255
208,場所,0.006774660588801966
438,赤い,0.006772322413390847
108,アルバム,0.006672221993583284
30,おもちゃ,0.006650387444995501
203,囲む,0.006648838740206672
221,大人,0.006639001474412791
362,疲れる,0.00662805322745462
326,正しい,0.006611056851289577
264,悲しい,0.006608685086435541
149,今,0.006576167413842097
480,響く,0.006563289107237317
124,フロアー,0.006397573315149954
455,遊ぶ,0.006380502216545329
52,すべて,0.006278598139386105
236,少年,0.006270800158998108
204,国,0.006257741042362144
396,続ける,0.006240299600556177
223,大好き,0.0062393418648604365
282,指,0.006212190505226623
355,熱狂,0.006200922529192696
126,ミュージック,0.006188903668286332
180,力,0.006161601080543565
427,覚える,0.0061385307225556894
167,先,0.006115532249238188
171,出し手,0.006099523894343029
200,嘘つき,0.0060935696795447495
389,約束,0.006022552747143876
73,どこか,0.005960791390724692
377,砂,0.00589494745036571
170,公園,0.005886521856118716
157,作る,0.005878135253110264
419,行幸,0.005866886377960872
450,追いかける,0.005841062706102477
212,変わる,0.005835819178415184
47,しない,0.005821146520029759
144,交わす,0.005819497490897905
310,最後,0.005806381729150808
125,ベース,0.005784353292521612
492,鳥,0.005773904134548333
178,初恋,0.0057735246183758405
209,壊す,0.005752113662616733
201,回,0.005744587376628635
100,よい,0.005714782260217701
281,押す,0.005684708819025898
35,きり,0.00564417557702517
89,まくる,0.005546202375749385
114,コーラ,0.005494451158168451
365,百,0.005492667608426522
215,夕焼け,0.005444819635673894
116,スクランブル,0.005433457892862117
311,最期,0.005359357082387012
391,素敵,0.005358657858967898
436,豚,0.005308277943729693
134,上,0.005289495237782476
44,この街,0.005276748668991888
468,閉じる,0.005275214975680497
3,distortion,0.005259361819933683
320,次,0.00522097534924051
53,すませる,0.0051981591053623065
20,いける,0.005196130261627006
112,ケース,0.005172070640097339
9,sweet,0.005095713294908204
399,繰り返す,0.005085575698074605
453,週末,0.005078978226635482
371,眠る,0.005064865824545283
21,いたむ,0.00505344714267497
401,美女,0.005046779235909593
27,うつむく,0.0050288101915751905
265,悲しみ,0.00501500224526554
120,バス,0.005007752672877534
252,後,0.004972177963669872
349,満たす,0.004966012164206937
63,たつ,0.004951536402034975
57,せい,0.004947659775572986
148,人間,0.004919878868930225
18,いう,0.004907179380705212
214,夕暮れ,0.004897337061761779
222,大体,0.004896703350623292
227,女,0.004896703350623292
346,海岸,0.004895383452183812
50,すぎる,0.004893798652612436
86,ほう,0.004870076747755953
348,涙,0.004810204641748511
85,ふる,0.004808225983139943
104,わかる,0.004804144445619107
437,買う,0.004802210021552597
292,教会,0.004791334478318544
29,おくれる,0.00476869728355794
141,乗る,0.004759328341477883
78,にも,0.004745718363866029
153,伸ばす,0.004743428175112169
152,今日も明日も,0.004711752347748131
297,明後日,0.004711752347748131
458,道,0.004667362581702043
88,ぼんやり,0.004660564159395837
12,あう,0.004656345468738084
318,染まる,0.004623197650383068
402,群れる,0.004610214572922696
80,はしゃぐ,0.0046063083920269456
449,迷い込む,0.004591497925272219
206,坂道,0.004591497925272219
32,かく,0.004582992145939852
118,テレビ,0.0045715678404698035
34,きく,0.00454899369137981
211,変,0.004542585418970701
277,打つ,0.004529114094232111
494,鳴る,0.004501164793447108
11,あいつ,0.004496987847013466
273,憎む,0.004486829715496161
359,生きる,0.004483227425914831
336,永遠,0.0044327812306638814
207,埃,0.004429241329885277
139,乗せる,0.0044288545904896375
469,闇,0.004421678620680569
467,長い,0.004419855800338394
198,唇,0.004392385676061689
411,自分,0.0043762537120613605
188,向く,0.00437065360791616
248,形,0.004358131186687509
230,姿,0.004334564883428647
262,恋しい,0.004329745577919863
421,街角,0.0043296405543764415
307,暗い,0.0043278610108806355
319,横顔,0.004324779677308148
65,だめ,0.004324779677308148
99,ゆく,0.004314934971847582
54,すむ,0.004290029145845057
413,舟,0.00428176625809609
49,しれる,0.004269513842055491
37,くだらない,0.004259669136594925
0,5分,0.00424455378240914
357,犬,0.004219770155287049
239,帰り道,0.004218745036399148
343,流行る,0.004204800660644125
173,出会う,0.004194800932783279
369,真っ赤,0.004167434151631356
338,沈む,0.004158010819726967
454,進む,0.004127043205846397
491,魚,0.004126720182824064
333,気づく,0.004096646175305457
193,吸い込む,0.004071930888397471
245,引きずる,0.004070659847707399
98,やれる,0.004058416053243449
75,なに,0.00404201295528838
330,死ねる,0.004041791797313343
107,アパート,0.003990027648681504
441,路上,0.003982579595806292
490,髪,0.0039732811441592466
463,銀河,0.00395969054830314
56,ずっとずっと,0.003958147678433866
247,弱音,0.003952113894504096
268,想い,0.003937291897717927
464,錆びる,0.003936220712734374
325,止める,0.003913001447927023
341,流す,0.00390948917033809
289,揺る,0.00390948917033809
482,頭,0.0038694835139444746
486,風に吹かれて,0.003859682542720119
422,裸,0.003858437645995563
267,惨め,0.0038259200286927908
465,鎖,0.003773378781659688
60,そば,0.003766740121311894
284,捧げる,0.0037612840312449304
488,駅,0.003714013958459992
136,下らない,0.003702022996108747
183,取り残す,0.003695411651997955
475,電車,0.0036896579095045475
393,素直,0.003678075650621578
279,抱える,0.0036684163865027567
334,気分,0.0036584294593686438
361,疑う,0.003617143895336747
384,窓,0.003611061211207964
328,歩ける,0.0036056294638163026
356,燃える,0.003603256899584148
81,はず,0.003602878696169585
370,真ん中,0.0035661254467134933
187,吐き気,0.0035340183414625465
205,地図,0.003520127446716209
293,方,0.00348284228942409
378,確か,0.0034702730317624757
462,醜い,0.003456519156236652
301,映る,0.003446442233054642
466,鏡,0.003446442233054642
28,うまい,0.0034016256128181098
216,外,0.003391346066059589
459,違う,0.00336623345863624
272,憂鬱,0.0033542823315448477
283,振り返る,0.00335363262368402
256,忍び込む,0.003345826732259197
235,少女,0.0033251546543047344
83,ひたむき,0.003312447279660777
238,嵐,0.003312447279660777
471,離れ離れ,0.0032671958181262903
242,年,0.003237715088487737
305,晴れ,0.0031957737055136486
82,ばれる,0.0031853859365059043
416,虹色,0.0031111941963093016
372,眠れる,0.0031088134330789514
258,怒り,0.0030908065407019344
392,素晴らしい,0.0030842845839718735
146,人生,0.003072678354819469
197,哀れ,0.0030723001514049056
224,天使,0.00304956244708511
317,枯らす,0.0030417904316986807
177,切る,0.003015871011670726
448,迷い,0.003011840307588217
70,でる,0.002965212488576708
350,漂う,0.002948387970507868
243,広告,0.002941055965657758
309,書く,0.0029195362949330666
194,吹く,0.0029129316178596026
110,ガラス,0.0029006680946241925
84,ふり,0.002890280325616448
241,平和,0.002871768214102398
410,腹,0.0028651048132184646
160,偉い,0.002838496895196644
191,君と僕,0.0028112468780328347
288,握りしめる,0.0027669891563068027
287,掴む,0.002740242632053109
352,無邪気,0.0027378246748793853
46,さっき,0.0027298548630453646
363,登る,0.0027280892560535715
