,Unnamed: 0,URL,SongName,Artist,Lyricist,Composer,Lyric
20,20,https://www.uta-net.com/song/129435/,3分間,andymori,小山田壮平,小山田壮平,"ロックンロールバンド 3分間のファンタジー,こっちにこいよ　遊ぼうぜ,ロックンロールバンド 3分間のユートピア,こっちにこいよ　踊ろうぜ,弦を掴むこの感触　腹に響くバスドラの音,さっきまで胸の中にいた憂鬱が　天国への階段を登る,いつか見たサーファーのようにユラユラ波に漂って揺れる,うねるベースライン　寂しそうに佇むマイクに手を伸ばす,ロックンロールバンド 3分間のファンタジー,こっちにこいよ　遊ぼうぜ,ステージライト　錆びたモニター　君の眼差しに許されて,力の限りに叫べば　どこかへ行けそうなんだ,鮮やかなリフレインが雪の舞う朝を連れてきて,心は風に乗って飛んでいけるんだ,ロックンロールバンド 3分間のユートピア,こっちにこいよ　踊ろうぜ,この両耳が最後の鐘の音を聴くまで　遊ぼうぜ　踊ろうぜ,ロックンロールバンド　ロックンロールバンド,ロックンロールバンド 3分間のファンタジー,こっちにこいよ　遊ぼうぜ,ロックンロールバンド 3分間のユートピア,こっちにこいよ　踊ろうぜ"
21,21,https://www.uta-net.com/song/117096/,Sunrise&Sunset,andymori,小山田壮平,小山田壮平,"遠い遠い昔からある花に名前をつけて笑いあおうよ,隠し事はないよ　僕も君も　分かってるんだよ　そのままでいてよ,Sunrise&Sunset　嘘つきは死なない,Sunrise&Sunset　争いは止まない,Sunrise&Sunset　欲しいものは尽きない,Sunrise&Sunset　悲しみは消えない,青い青い空の色に恋い焦がれ　立ち止まる度　振り回されて,くるくると踊るように暮らしながら歌ってるなら　僕も歌うから,Sunrise&Sunset　嘘つきは死なない,Sunrise&Sunset　争いは止まない,Sunrise&Sunset　欲しいものは尽きない,Sunrise&Sunset　悲しみは消えない,ぐらぐらの頭さらに揺らしながら　君のことだけ考えている,いつか見た夏の海も冬の星も消えてしまうだろう　無くなってしまうだろう,遠い遠い昔からある花に名前をつけて笑いあおうよ,隠し事はないよ　僕も君も　分かってるんだよ　そのままでいてよ,Sunrise&Sunset　君からの手紙を,気にしてないよの一言を,忘れたあの歌の続きを,Sunrise&Sunset　ずっと待っているんだよ,Sunrise&Sunset　嘘つきは死なない,Sunrise&Sunset　争いは止まない,Sunrise&Sunset　欲しいものは尽きない,Sunrise&Sunset　悲しみは消えない"
22,22,https://www.uta-net.com/song/117210/,CITY LIGHTS,andymori,小山田壮平,小山田壮平,"力ずくで行こうとしたんだよ　でも地図はいつでも嘘つきで大体,テレビで偉そうにスマイルばらまいてキャッキャと喰らいつく,女の裸を　子供の頃は最高さ,大好きだったドカ靴の紳士と街から街へのタイムスリップで,恋して飛んでくシティーライツラン,デブー,カニバリズムとダンシングガール,待ち合わせは高円寺　名前なんかない猫と行く,完成形を目指して　夜に飛ぶ鳥　ミサイルも魔女も越えてあの街まで行け,CITY LIGHTS CITY LIGHTSどこにもいけないけれど,人身事故が起こったよ　迷惑そうな女の子,見上げたスクランブル大画面　元気を出せって言ってるじゃないか,車椅子の死刑囚と路上の素敵なイスラエリーと名前なんかない猫と行く,超新星　あの超新星　寂しいのは分かるけどあたりかまわずわめいてはじけて,CITY LIGHTS CITY LIGHTSすぐにいなくなるくせに,エコバックのアバディーンアンガス,明日へのエネルギーが名前なんかない猫と行く,完成形を目指して　夜に飛ぶ鳥　ミサイルも魔女も越えてあの街まで行け,CITY LIGHTS CITY LIGHTSどこにもいけないけれど,超新星　あの超新星　寂しいのは分かるけどあたりかまわずわめいてはじけて,CITY LIGHTS CITY LIGHTSすぐにいなくなるくせに"
23,23,https://www.uta-net.com/song/129430/,シンガー,andymori,小山田壮平,小山田壮平,"なんだか疲れてしまったね　まいってしまったね,心の声は届かない　どんなに近づいても,コンビニをウロウロしながら　ユラユラしながら,照らされた歩道の上を　フラフラしながら過ぎる日々,あの頃みたいに笑っておくれよ　あの頃みたいに泣いておくれよ,モノクロの世界の中でフルカラーの君を　僕は見つけたよ　君はシンガーだ,君が歌ってよ　君が歌ってよ　君が歌ってよ　ララララララララ....,あの太陽を君も見たことあるでしょう,見慣れた街の冬の朝に浮かんだオレンジの太陽を,夏の日の突き抜けるような青い空に飛行機雲が,どこまでもどこまでも伸びていったんだ,君の喜びを僕が　君の怒りを僕が　君の悲しみを僕が　僕が歌うから,僕が歌うから　僕が歌うから　僕が歌うから　ララララララララ....,君が歌ってよ　君が歌ってよ　君が歌ってよ　ララララララララ...."
24,24,https://www.uta-net.com/song/117207/,16,andymori,小山田壮平,小山田壮平,"なんでもない日を繰り返し歌い続けてから幾年が過ぎ,約束ばかりが増えていく　空っぽの空のむこうに,どこにもいけない彼女たち駅の改札を出たり入ったり,変れない明日を許しながら　なんとなく嘘をつくのさ,１６のリズムで空をいく　可愛くなれない性格で,全然違うことを考えながら　優しいんだねって嘘をつくのさ,空がこんなに青すぎるとなにもかも捨ててしまいたくなる,空がこんなに青すぎるとこのまま眠ってしまいたい,１６のリズムで空をいく　昔の誰かに電話して,貰った花をまた枯らしながら今度呑もうねと嘘をつくのさ,祈りを込めて歌うように　神様に会いにいくように,１６のリズムで空をいく　明日もずっと空をいくのさ"
25,25,https://www.uta-net.com/song/129432/,ジーニー,andymori,小山田壮平,小山田壮平,"いつのまにか夕暮れが来てしまって息を潜めてなんとか暮らしているよ,友達の名前を呼んだ少年　初恋の中の少女たちと,風の散歩道をブラブラしてるだけだ,知之　知之　二人のことを完全に忘れて暮らすことがあるだろう?,知之　知之　憂いの馴れ合いの中で紡いだあの情熱も,アントンとジョアンナときよらの声が光る雲から降ってくる,さくらとびわの並木道で見えた神様の姿,いつかはいつかは憧れのあの空に許される日が来ると思うかい?,知之　知之　俺がみてるお前の美しさを知るわけもないよね,知之　知之　二人のことを完全に忘れて暮らすことがあるだろう,知之　知之　憂いの馴れ合いの中で紡いだあの情熱も,紡いだあの情熱も"
26,26,https://www.uta-net.com/song/122913/,すごい速さ,andymori,小山田壮平,小山田壮平,"きっと世界の終わりもこんな風に,味気ない感じなんだろうな,あのバンドの新譜と牛乳を買いに,部屋をでたけれど,5分前に出会ったふたりも,今じゃベッドでささやきあって,くだらないTV消してはじまりのおわりの,はじまりのおわりの話をする,すごい速さで夏は過ぎたが,ラララララララ,熱が胸に騒ぐ,そのセンチメンタルはいつか,お前の身を滅ぼすのかもしれないよ,感傷中毒の患者禁断症状映画館へ走る,でもなんかやれそうな気がする,なんかやらなきゃって思う,だってなんかやらなきゃできるさ,どうしようもないこのからだ何処へ行くのか,すごい速さで夏は過ぎたが,ラララララララ,熱が胸に騒ぐ,すごい速さで夏は過ぎたが,ラララララララ,熱が胸に騒ぐ"
27,27,https://www.uta-net.com/song/148487/,スパイラル,andymori,小山田壮平,小山田壮平,"ばれないように隠し持ってた　羽が指から落ちてった,クルクルと弧を描いてスニーカーの上に落ちてった,泣くなよベイベー,ずっとそばにいるっていったあいつもいつかいなくなった,この微熱はあの日の夢の中,次の場所まで飛んでいこうよ,晴れの日はうたた寝しながらもスパイラル,街の灯が優しく見えたら小さな胸をはずませて,あの雲が真っ赤に焼ける頃に,このメロディーが回りだすんだ,「時間が無い　時間が無い」,頭を抱える君の横で歌うよ,聖者は死んだ仕方ないさ　この暑さじゃ誰だって,流行りのフルーツにかじりつきたくなる,そしてスパイラル　僕らは回るよ,昨日も今日も明日も明後日だって,喜びも悲しみも　あの空へ連れていくんだ,次の場所まで飛んでいこうよ,雨の日はふて寝決め込んだってスパイラル,憂鬱を切って混ぜるような日々はいつまでも続いていく,あてのない旅　異国の街で一人きり迷子になったのならチャンス,誰でもない誰でもない,自分だけのために歌うチャンス,泣くなよベイベー,僕たちはそれでも明日を夢見て眠るしかないんです,あの涙とこの古傷と風と共に舞いながら,僕たちは「時間が無い　時間が無い　あの頃にもどりたい」と言いながら,いつだってもう少しもう少し　君にいてほしいだけ,泣くなよベイベー"
28,28,https://www.uta-net.com/song/117101/,スーパーマンになりたい,andymori,小山田壮平,小山田壮平,"たった一度だけでいい　スーパーマンになりたい,世界中の争いを憎み　世界中を愛し戦うスーパーマンになりたい,たった一度だけでいい　スーパースターになりたい,世界中の人々に愛され　世界中の美女とやりまくるスーパースターになりたい,スーパーマン　スーパーマン　スーパーマン　スーパーマン,スーパーマン　スーパーマン　スーパーマンになりたい,スーパースター　スーパースター　スーパースター　スーパースター,スーパースター　スーパースター　スーパースターになりたい"
29,29,https://www.uta-net.com/song/117209/,ずっとグルーピー,andymori,小山田壮平,小山田壮平,"お揃いのタオル　ディストーションに揺られて光を集めてる,いつか逃がした鳥とアメリカザリガニとブラックバスとカブトムシと,宝探し続けて迷い込んだダンスフロアーと教会,汗と涙流してすっとしたあとでさっと帰っていくいつも通りだよ,シスター　シスター,君もやるのかい　いろいろ,あれからずっとずっと足と二の腕と胸にはさまれて,暗い部屋で労働法則と機械にあそばれてみんな疲れてる,ポリネシアでスコールに打たれる兄弟よ,宇宙船まで作って目指した唇よ,シスター　シスター,君も歌うのかい　たまには,ラララララ,賛美歌と熱狂に転がされて坂道を,うつむいてゆらゆらゆら海岸へ行くんだ,ほんとはみんなを待ってるだけなんだよ,魚が跳ねるのを待ってるだけ"
30,30,https://www.uta-net.com/song/148486/,空は藍色,andymori,小山田壮平,小山田壮平,"今日は晴れだと嬉しくて　暖かいガラスに触って,走り出せそうな気持ちで空をずっと眺めても,ガラス瓶の中宝物　かわるがわる覗いた窓,掴まれて突き刺さる爪をされるがままに眺めた,それは愛だと思いました　それこそが愛だと分かりました,彼女のことなんか何一つ知らないまま,遠い遠い旅に出て行く　舟は波に揺れる揺れるだけ,ひこうき雲　もうこんなにも君を探してしまうときも　空は藍色,東の空へ爆撃機が　いつも通りに飛んでいく,メトロポリタンミュージアム　みんなのうたがかき消される,ずっとずっと思ってたことが　考えるのをやめたせいで,分からなくなっちゃった　それでいいと諦めた,いつか大人になったときに　捨ててしまうものを今捨てよう,ひこうき雲　もうこんなにも宇宙が透けて見えるときも　空は藍色,遠い遠い旅に出て行く　舟は波に揺れる揺れるだけ,ひこうき雲　藍色の空　宇宙が透けても星は見えない,ひこうき雲　もうこんなにも君を探してしまうときも　空は藍色"
